title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Godzilla II: Król potworów / Godzilla: King of the Monsters (2019),"Król Potworów powraca, by ponownie przywrócić równowagę na świecie i zmierzy się z Mothrą, Rodanem i swoim najgroźniejszym wrogiem—trzygłowym Królem Ghidorahem.",Film,"Akcja, Fantasy, Przygodowy, Sci-Fi",2019,131,6.0,90,"USA, Japan",https://cda-hd.cc/38961/godzilla-ii-krol-potworow-godzilla-king-of-the-monsters-2019-online/,https://image.tmdb.org/t/p/w185/3U6BzyWvH8Q3XtY2I5hwhB2BqDf.jpg
Łap marzenia! / Rip Tide (2017),"Cora jest córką szefowej agencji modelek. Czuje się przytłoczona wymaganiami, chciałaby kierować swoim życiem i karierą. Wyjeżdża do nadmorskiej miejscowości w Australii. Uczy się surfować.",Film,Familijny,2017,85,5.5,2,"Australia, United Arab Emirates",https://cda-hd.cc/40133/lap-marzenia-rip-tide-2017/,https://image.tmdb.org/t/p/w185/zQZJPhjLGxQWdxDlrtgagUa4Fak.jpg
Scooby-Doo! Powrót na wyspę zombie / Scooby-Doo: Return to Zombie Island (2019),"Tym razem Scooby-Doo i Brygada Detektywów wygrywają wakacje „all inclusive” i wyruszają w podróż życia do tropikalnego raju. Ich celem okazuje się jednak wyspa zombie. Zaraz po przybyciu zdają sobie sprawę, że miejsce wygląda dziwnie znajomo i przypomina wyspę, na której byli parę lat temu, gdzie rozwiązywali tajemnicę nieumarłych… Brygada szybko zadaje sobie sprawę, że ich podróż do raju ma swoją cenę. Zombie wynurzają się ponownie i atakują ich hotel. Czy Scooby-Doo i Brygada Detektywów w końcu rozwiążą tajemnicę wyspy zombie?",Film,"Animacja, Familijny, Fantasy, Komedia, Przygodowy, Tajemnica",2019,80,6.0,323,USA,https://cda-hd.cc/40131/scooby-doo-powrot-na-wyspe-zombie-scooby-doo-return-to-zombie-island-2019-online/,https://image.tmdb.org/t/p/w185/Zcp6pzwEcaeQ97ANWuKIjYxnSs.jpg
Ziemia pod nogami / Der Boden unter den Füßen (2019),"Niespełna trzydziestoletnia Lola (Valerie Pachner) jest konsultantką biznesową, która zrobi wszystko, aby odnieść sukces. Kobieta wyróżnia się agresywną taktyką działania i ogromnym zaangażowaniem. Jej rutyną jest praca do późna i liczne wieczorne spotkania z klientami. Lola ukrywa przed światem związek z szefową Elise (Mavie Hörbiger), a także istnienie swojej mającej problemy psychiczne starszej siostry Conny (Pia Hierzegger). Jednak pewnego dnia Conny podejmuje próbę samobójczą, co wywraca codzienności Loli do góry nogami.",Film,Dramat,2019,108,6.3,289,Austria,https://cda-hd.cc/40129/ziemia-pod-nogami-der-boden-unter-den-fusen-2019-online/,https://image.tmdb.org/t/p/w185/aOd7l2ANHP01RKUmwAFUpr8Ugvd.jpg
Zła uczennica / The Wrong Student (2018),"Kelly Halligan wraz z 17-letnią siostrzenicą przeprowadza się do Kalifornii. Tam nawiązuje romans z przystojnym trenerem piłkarskim, Dominikiem.",Film,Thriller,2017,86,5.5,333,USA,https://cda-hd.cc/40120/zla-uczennica-the-wrong-student-2018-online/,https://image.tmdb.org/t/p/w185/4iGSaKEVcRJwVVzoOEeNEwcAAle.jpg
Światło mojego życia / Light of My Life (2019),"Postapokaliptyczna opowieść o ojcu (Casey Affleck) i córce (Anna Pniowsky), którzy wędrują po pustkowiach Kanady szukając schronienia przed tajemniczą epidemią, dziesiątkującą populację kobiet.",Film,Dramat,2019,119,6.6,2,USA,https://cda-hd.cc/40109/swiatlo-mojego-zycia-light-of-my-life-2019-online/,https://image.tmdb.org/t/p/w185/3gLH2WSY9IykYaiqDHkCCGbY7nw.jpg
Sweet Virginia (2017),"W obliczu potrójnego morderstwa społeczność niewielkiego miasteczka na Alasce prowadzi życie pełne dyskomfortu. Gdy Elwood zajeżdża do motelu prowadzonego przez byłego mistrza rodeo, Sama, połączeni losem społecznych odludków nawiązują krępującą przyjaźń, która będzie nie tylko powodować spięcia między dwójką mężczyzn, ale wyzwoli w Samie jego najmroczniejsze demony.",Film,"Dramat, Thriller",,93,6.3,1,"Canada,USA",https://cda-hd.cc/22777/sweet-virginia-2017-online/,https://image.tmdb.org/t/p/w185/qTch1l0ZMU4MiOBDEJ14jVmANVC.jpg
Skradziona przeszłość / Her Stolen Past (2018),"Kiedy Sonya Daniels znajduje akt urodzenia porwanego dziecka, ukryty w domu swojej zmarłej matki, jest zszokowana. Jaka była więź jej rodziców z zaginioną dziewczynką i czy morderstwo jej matki mogło być z nim połączone?",Film,Thriller,2018,87,5.2,198,Canada,https://cda-hd.cc/40100/skradziona-przeszlosc-her-stolen-past-2018-online/,https://image.tmdb.org/t/p/w185/8WsJFb9V8MHhbCp2eBc3hZv6r8b.jpg
Praziomek / Missing Link (2019),"Na listowne zaproszenie pewnego tajemniczego obywatela sir Lionel Frost wyrusza w dzikie ostępy Ameryki Północnej, by odnaleźć i ujawnić brakujące ogniwo, czyli najbliższego przodka człowieka zwanego także Wielką Stopą.",Film,"Animacja, Familijny, Fantasy, Komedia, Przygodowy",2019,93,6.7,9,USA,https://cda-hd.cc/41881/praziomek-missing-link-2019-online/,https://image.tmdb.org/t/p/w185/dkHvt8MFmyJBScKBIYO8PJtfr3m.jpg
Wysoka dziewczyna / Tall Girl (2019),Po latach smutnego snucia się przez życie mierząca 186 cm wzrostu Jodi postanawia przezwyciężyć swoje lęki i wplątuje się w licealny trójkąt miłosny.,Film,Komedia,2019,101,5.5,3,USA,https://cda-hd.cc/40085/wysoka-dziewczyna-tall-girl-2019-online/,https://image.tmdb.org/t/p/w185/m0clsFEXidLVJ0TueqWOvvImOMh.jpg
