title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Doom: Annihilation (2019),"Film opowiada o grupie kosmicznych marines, którzy odpowiadają na wezwanie ratunkowe z bazy na księżycu Marsa, tylko po to, by odkryć, że miejsce zostało przejęte przez demoniczne stwory, które chcą stworzyć Piekło na Ziemi.",Film,"Akcja, Horror, Przygodowy, Sci-Fi, Thriller",2019,,3.6,1508,USA,https://cda-hd.cc/40352/doom-annihilation-2019-online/,https://image.tmdb.org/t/p/w185/y0veZvK4Q0NzoAjbFlUrGr1cvZ8.jpg
Wendeta / Brimstone (2016),,Film,"Thriller, Western",2017,148,7.5,2541,"Netherlands, France, Germany, Belgium, Sweden, UK",https://cda-hd.cc/14188/brimstone-2016-online/,https://image.tmdb.org/t/p/w185/fYYruOEwdbJhlgdfK1HxPhXwHiB.jpg
"Całujesz i masz / Pup-o, ma! (2018)","Trzech spragnionych miłości samotnych pasterzy próbuje pocałować upatrzone panie, licząc na to, że uda im się skłonić je do małżeństwa.",Film,Komedia,2019,,6.5,316,Romania,https://cda-hd.cc/40138/calujesz-i-masz-pup-o-ma-2018-online/,https://image.tmdb.org/t/p/w185/vVrKGKTjk9ULFSfWJvYDhbPcnob.jpg
Hoax (2019),"Zespół śledczy podróżuje w głąb odległej pustyni Colorado po tym, jak grupa młodych obozowiczów zostaje brutalnie zamordowana przez coś, co może być Wielką Stopą.",Film,Horror,2019,,3.6,314,USA,https://cda-hd.cc/39978/hoax-2019-online/,https://image.tmdb.org/t/p/w185/hK7s0dsNLGyEFokHyvyyTj1KCYL.jpg
Palące pożądanie / Manmarziyaan (2018),"Trójkąt miłosny między uduchowioną dziewczyną, towarzyskim chłopakiem i narzeczonym, który nadaje się na męża.",Film,Romans,2018,,6.9,5482,India,https://cda-hd.cc/39905/palace-pozadanie-manmarziyaan-2018-online/,https://image.tmdb.org/t/p/w185/spTuL3PJFYQsxBdAHbUJlHtwwyi.jpg
Wigilijny koszmar / Christmas Apparition (2016),"Emma opiekuje się dwójką nastolatków w przestronnym domu. Pomimo starań, by dało się odczuć magię i ciepło Bożego Narodzenia, para młodych domowników traktuje kobietę z wrogością i podejrzliwością. Wraz z upływem czasu, pobyt Emmy w nowym domu staje się coraz mniej przyjemny. Natężają się jej stany lękowe, w mieszkaniu objawiają się przedziwne cienie, a codzienne życie wydaje się balansować na granicy rzeczywistości i snu. Emmę, zmęczoną napiętą atmosferą i niepokojącymi obrazami z własnego umysłu, zaczynają nawiedzać wizje nieznajomego w domu. Niekończące się koszmary i wychodzące na jaw straszliwe fakty o nowo poznanej rodzinie zmuszają Emmę do konfrontacji z niewyobrażalnym złem, o którym jej wybujałemu umysłowi nawet się nie śniło.",Film,Thriller,2016,,5.2,422,USA,https://cda-hd.cc/23122/wigilijny-koszmar-christmas-apparition-2016/,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmRlNjI3NzMtNmViZS00OTJkLWIyZTUtOTUzNGRkNzU1M2Q3XkEyXkFqcGdeQXVyMzIwNjMzOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
Zemsta córki kaznodziei / I Killed My BFF: The Preacher’s Daughter / Do Unto Others (2018),"Lily, córka kaznodziei, zaprzyjaźnia się z charyzmatyczną Rae i pod jej wpływem stopniowo porzuca bogobojne życie. Nagła śmierć Jasona, brata Lily, sprawia, że obwinia ona Rae, podejrzewając ją o konszachty z siłami zła. Postanawia wymierzyć jej karę.",Film,"Dramat, Thriller",2018,,5.0,101,USA,https://cda-hd.cc/39755/zemsta-corki-kaznodziei-i-killed-my-bff-the-preachers-daughter-do-unto-others-2018-online/,https://image.tmdb.org/t/p/w185/3BcBu4C6fWuUd8Keyqzb92wjpn.jpg
Arktyczna apokalipsa / Arctic Apocalypse (2019),"Katastroficzny obraz opowiadający historię rodziny przemierzającej mroźne bezdroża, po tym jak zmiany klimatyczne skuwają północną półkulę lodem.",Film,Akcja,2019,,3.7,6,USA,https://cda-hd.cc/39701/arktyczna-apokalipsa-arctic-apocalypse-2019-online/,https://image.tmdb.org/t/p/w185/6yOakcmbhgV0PXaUvL6iCzxeeb3.jpg
Boi (2019),Młody szofer na życiowych rozdrożach obwozi dwóch klientów po Barcelonie i daje się wciągnąć w realizację ich tajemniczego zadania.,Film,"Tajemnica, Thriller",2019,,4.7,115,Spain,https://cda-hd.cc/39583/boi-2019-online/,https://image.tmdb.org/t/p/w185/2lGKEaL315JTlusiQDRobBA84ES.jpg
Apollo 11: zaginione nagrania / Apollo: The Forgotten Films (2019),"W 1969 roku miliony ludzi patrzyły, jak Neil Armstrong stawia pierwsze kroki na Księżycu. Jednak za tymi słynnymi zdjęciami kryje się wiele niedopowiedzeń. Niektóre teorie pełne są wątpliwości, co do autentyczności materiałów. Ujawnione zostają nieodkryte dotąd archiwa.",Film,"Biograficzny, Dokumentalny, Historyczny",2019,,8.6,10,USA,https://cda-hd.cc/39486/apollo-11-zaginione-nagrania-apollo-the-forgotten-films-2019-online/,https://image.tmdb.org/t/p/w185/ea1F7HmYXyTxsZqnHnZ0v8dJ5p5.jpg
